sha,date,todo,revisit,fixme
8204fa2,2023-05-10T18:27:59+02:00,0,0,0
5f4b483,2023-05-10T18:59:45+02:00,10,60,5
bf7cf4a,2023-05-10T19:06:03+02:00,10,60,5
ee0b644,2023-05-10T19:06:47+02:00,10,60,5
e22706e,2023-05-10T19:14:40+02:00,10,60,5
345aa09,2023-05-10T19:16:08+02:00,10,60,5
2070be5,2023-05-10T19:19:30+02:00,10,60,5
4b074d8,2023-05-11T10:18:06+02:00,10,60,5
b36ce3b,2023-05-11T21:58:41+02:00,70,91,5
a6ef927,2023-05-11T22:00:45+02:00,70,91,5
7a24f4c,2023-05-12T13:04:09+02:00,60,73,5
490cd56,2023-05-12T13:15:17+02:00,60,73,5
3e9ba54,2023-05-12T14:16:16+02:00,60,73,5
efa4367,2023-05-12T14:39:21+02:00,60,73,5
aa69e92,2023-05-12T16:14:41+02:00,60,73,5
bf67a1d,2023-05-15T11:40:12+02:00,60,73,5
63a0932,2023-05-15T15:08:37+02:00,60,73,5
7473698,2023-05-15T15:19:12+02:00,60,73,5
34a2bd9,2023-05-15T15:25:15+02:00,60,73,5
6b6ad82,2023-05-15T16:28:41+02:00,60,73,5
4a34a48,2023-05-15T23:54:10+02:00,60,73,5
79edeba,2023-05-15T23:55:38+02:00,60,73,5
f47ff9b,2023-05-15T23:56:02+02:00,60,73,5
fcf981c,2023-05-16T09:33:50+02:00,60,73,5
3607e18,2023-05-16T10:15:52+02:00,60,73,5
406c087,2023-05-16T14:52:52+02:00,61,73,5
7c366e7,2023-05-16T14:59:25+02:00,61,73,5
354f901,2023-05-16T15:05:42+02:00,61,73,5
f0afffe,2023-05-16T18:13:52+02:00,61,73,5
8657916,2023-05-16T22:17:43+02:00,61,73,5
5ab5cb3,2023-05-16T22:18:01+02:00,61,73,5
71f7f07,2023-05-16T22:19:49+02:00,61,73,5
b7e0a3e,2023-05-16T22:51:17+02:00,61,73,5
9eb353c,2023-05-16T22:54:10+02:00,61,73,5
69358ef,2023-05-17T10:10:02+02:00,61,73,5
0603b63,2023-05-17T11:35:38+02:00,61,73,5
0c5420d,2023-05-19T09:16:49+02:00,82,78,5
d2db16d,2023-05-19T11:43:36+02:00,61,73,5
af8d495,2023-05-19T11:53:01+02:00,61,73,5
d688a85,2023-05-19T12:35:15+02:00,61,73,5
fb453ee,2023-05-19T12:37:29+02:00,61,73,5
b6af06f,2023-05-19T14:47:12+02:00,61,73,5
a1fe9e8,2023-05-22T11:49:32+02:00,60,72,5
697e1d5,2023-05-22T11:56:29+02:00,60,72,5
3212910,2023-05-22T12:04:00+02:00,61,73,5
1ae2bcf,2023-05-23T12:24:09+02:00,60,72,5
2013601,2023-05-23T14:01:45+02:00,60,72,5
f4d91ac,2023-05-23T14:16:07+02:00,60,72,4
25a5c5d,2023-05-23T14:44:56+02:00,60,72,4
f26e895,2023-05-23T15:40:41+02:00,60,73,4
136146d,2023-05-23T16:00:27+02:00,60,74,4
4125afe,2023-05-23T14:32:01+00:00,60,74,4
a6820c8,2023-05-23T17:02:16+02:00,60,74,4
df8d226,2023-05-25T07:43:43+00:00,60,74,4
27cf1d5,2023-05-25T15:52:25+02:00,60,74,4
d52806d,2023-05-26T10:42:54+02:00,60,74,4
